================ Coverage for /Users/shurtj/Development/khoros/ ================
------------------------------ Detailed Coverage -------------------------------
| Name                                                                  |  Status |
|       Khoros.Community.get_sign_out_url (L1439)                       | COVERED |
|       Khoros.Community.get_creation_date (L1451)                      | COVERED |
|       Khoros.Community.top_level_categories_enabled (L1464)           | COVERED |
|       Khoros.Community.show_community_node_in_breadcrumb (L1476)      | COVERED |
|       Khoros.Community.show_breadcrumb_at_top_level (L1489)           | COVERED |
|       Khoros.Community.top_level_categories_on_community_page (L1501) | COVERED |
|     Khoros.GroupHub (L1514)                                           | COVERED |
|       Khoros.GroupHub.__init__ (L1516)                                | COVERED |
|       Khoros.GroupHub.create (L1524)                                  | COVERED |
|       Khoros.GroupHub.structure_payload (L1608)                       | COVERED |
|       Khoros.GroupHub.get_total_count (L1659)                         | COVERED |
|       Khoros.GroupHub.update_title (L1666)                            | COVERED |
|     Khoros.Message (L1716)                                            | COVERED |
|       Khoros.Message.__init__ (L1718)                                 | COVERED |
|       Khoros.Message.create (L1726)                                   | COVERED |
|       Khoros.Message.parse_v2_response (L1816)                        | COVERED |
|       Khoros.Message.format_content_mention (L1852)                   | COVERED |
|       Khoros.Message.format_user_mention (L1881)                      | COVERED |
|     Khoros.Node (L1902)                                               | COVERED |
|       Khoros.Node.__init__ (L1904)                                    | COVERED |
|       Khoros.Node.get_node_id (L1912)                                 | COVERED |
|       Khoros.Node.get_node_type_from_url (L1927)                      | COVERED |
|       Khoros.Node.get_total_node_count (L1938)                        | COVERED |
|       Khoros.Node.get_node_details (L1946)                            | COVERED |
|       Khoros.Node.get_node_field (L1962)                              | COVERED |
|       Khoros.Node.get_url (L1981)                                     | COVERED |
|       Khoros.Node.get_type (L1997)                                    | COVERED |
|       Khoros.Node.get_discussion_style (L2014)                        | COVERED |
|       Khoros.Node.get_title (L2031)                                   | COVERED |
|       Khoros.Node.get_description (L2053)                             | COVERED |
|       Khoros.Node.get_parent_type (L2070)                             | COVERED |
|       Khoros.Node.get_parent_id (L2087)                               | COVERED |
|       Khoros.Node.get_parent_url (L2106)                              | COVERED |
|       Khoros.Node.get_root_type (L2123)                               | COVERED |
|       Khoros.Node.get_root_id (L2140)                                 | COVERED |
|       Khoros.Node.get_root_url (L2159)                                | COVERED |
|       Khoros.Node.get_avatar_url (L2176)                              | COVERED |
